identifier;title;courseCredits;Center;AcademicDepartment;isCurrentlyOffered;TeachingUniversity;Term;YearOfStudy;ClassHours;MonitoringHours;NonAttendanceHours;courseHours;typology;BacherlorsDegree;homepage;EnglishFriendly;TeachingStaff
"G499";"Acción Tutorial";6,00;"FACULTAD DE EDUCACION";"DPTO. EDUCACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;15;75;150;"OBLIGATORIA";"Grado en Magisterio en Educación Infantil";"https://web.unican.es/estudios/detalle-asignatura?c=G499&p=110";"No";"1 - Profesor Asociado; 1 - Profesor Ayudante Doctor; 2 - Profesor de Sustitución;"
"G554";"Acción Tutorial";6,00;"FACULTAD DE EDUCACION";"DPTO. EDUCACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;15;75;150;"OBLIGATORIA";"Grado en Magisterio en Educación Primaria";"https://web.unican.es/estudios/detalle-asignatura?c=G554&p=111";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución; 1 - Profesor Titular de Universidad;"
"G1698";"Accionamientos Eléctricos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";;False;;"Cuatrimestral";"4";0;0;0;0;"OBLIGATORIA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G1698&p=103";;
"G537";"Acercamiento a la Historia del Mundo Actual";6,00;"FACULTAD DE EDUCACION";;False;;"Cuatrimestral";"4";0;0;0;0;"OPTATIVA";"Grado en Magisterio en Educación Infantil";"https://web.unican.es/estudios/detalle-asignatura?c=G537&p=110";;
"G522";"Acquisition du Français Langue Etrangère";6,00;"FACULTAD DE EDUCACION";"DPTO. FILOLOGIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OPTATIVA";"Grado en Magisterio en Educación Primaria";"https://web.unican.es/estudios/detalle-asignatura?c=G522&p=111";"Si";"1 - Profesor Contratado Doctor;"
"G518";"Acquisition of English as a Foreign Language";6,00;"FACULTAD DE EDUCACION";"DPTO. FILOLOGIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Magisterio en Educación Primaria";"https://web.unican.es/estudios/detalle-asignatura?c=G518&p=111";"No";"1 - Profesor Titular de Universidad;"
"G1022";"Actuación en Situaciones Especiales";6,00;"FACULTAD DE ENFERMERÍA";"DPTO. ENFERMERIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;9;81;150;"BÁSICA";"Grado en Enfermería";"https://web.unican.es/estudios/detalle-asignatura?c=G1022&p=120";"No";"1 - No definido; 1 - Profesor Asociado; 2 - Profesor Titular de Universidad;"
"G1022";"Actuación en Situaciones Especiales";6,00;"FACULTAD DE ENFERMERÍA";"DPTO. ENFERMERIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;9;81;150;"BÁSICA";"Grado en Enfermería";"https://web.unican.es/estudios/detalle-asignatura?c=G1022&p=120";"No";"1 - No definido; 1 - Profesor Asociado; 2 - Profesor Titular de Universidad;"
"G901";"Administración de Personal";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OBLIGATORIA";"Grado en Administración y Dirección de Empresas";"https://web.unican.es/estudios/detalle-asignatura?c=G901&p=116";"No";"1 - Profesor Contratado Doctor; 1 - Profesor Titular de Universidad;"
"G510";"Adquisición y Didáctica de la Lengua Materna y Extranjera";6,00;"FACULTAD DE EDUCACION";"DPTO. FILOLOGIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"BÁSICA";"Grado en Magisterio en Educación Infantil";"https://web.unican.es/estudios/detalle-asignatura?c=G510&p=110";"No";"1 - Profesor Asociado; 1 - Profesor Ayudante Doctor; 2 - Profesor Contratado Doctor;"
"G510";"Adquisición y Didáctica de la Lengua Materna y Extranjera";6,00;"FACULTAD DE EDUCACION";"DPTO. FILOLOGIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"BÁSICA";"Grado en Magisterio en Educación Infantil";"https://web.unican.es/estudios/detalle-asignatura?c=G510&p=110";"No";"1 - Profesor Asociado; 1 - Profesor Ayudante Doctor; 2 - Profesor Contratado Doctor;"
"G80";"Advanced Computation";6,00;"FACULTAD DE CIENCIAS";"DPTO. INGENIERÍA INFORMÁTICA Y ELECTRÓNICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";30;15;75;120;"OPTATIVA";"Grado en Física";"https://web.unican.es/estudios/detalle-asignatura?c=G80&p=67";"No";"1 - Catedrático de Universidad; 1 - Profesor Titular de Universidad;"
"G79";"Advanced Experimental Techniques (1C)";6,00;"FACULTAD DE CIENCIAS";"DPTO. FISICA APLICADA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";54;20;76;150;"OPTATIVA";"Grado en Física";"https://web.unican.es/estudios/detalle-asignatura?c=G79&p=67";"No";"2 - Catedrático de Universidad; 1 - Profesor Contratado Doctor; 1 - Profesor Permanente Laboral; 1 - Profesor Titular de Universidad;"
"G1775";"Advanced Experimental Techniques (2C)";6,00;"FACULTAD DE CIENCIAS";"DPTO. FISICA APLICADA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";54;20;76;150;"OPTATIVA";"Grado en Física";"https://web.unican.es/estudios/detalle-asignatura?c=G1775&p=67";"No";"3 - Catedrático de Universidad; 1 - Profesor Permanente Laboral; 1 - Profesor Permanente Laboral I3; 2 - Profesor Titular de Universidad; 1 - Programas de Formación;"
"G1821";"Advanced Operating Systems";6,00;"FACULTAD DE CIENCIAS";;False;;"Cuatrimestral";"4";0;0;0;0;"OPTATIVA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G1821&p=98";;
"G1894";"Advanced Probability";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;10;80;150;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G1894&p=68";"Si";"1 - Profesor Titular de Universidad;"
"G787";"Advanced Separation Processes";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIAS QUIMICA Y BIOMOLECULAR";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;25;65;150;"OPTATIVA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G787&p=113";"No";"1 - Catedrático de Universidad; 1 - Profesor Asociado; 1 - Profesor Ayudante Doctor; 2 - Profesor Titular de Universidad;"
